Gene	PRAS	log2PRAS	rank
NBPF1	3.59201241146221	2.19912654138877	210
CYP27A1	3.56550444462395	2.19077427303549	211
GLS	3.54338809437938	2.18376854508705	212
FGA	3.53576157723681	2.18134480686339	213
AC131097.2	3.52457412186043	2.17778200408644	214
CRIM1	3.50267127665259	2.17078115570458	215
RPL32	3.4891298206093	2.16643581798237	216
H4C15	3.45602971367669	2.1557588528824	217
QRICH1	3.44802878604997	2.15316612469747	218
IMMT	3.39572310721929	2.13610051175963	219
SNORD51	3.38789502901634	2.13352901276731	220
CCT3	3.38313877912875	2.13196435825823	221
EEF1B2	3.38246166617042	2.1317414716425	222
SF3B6	3.35301912820004	2.12201635968444	223
AC099668.1	3.3371945852062	2.1167621701585	224
HNRNPDL	3.31623786771964	2.10977437389064	225
NBPF9	3.2680554543628	2.09357892105795	226
UGDH	3.26690365259511	2.0931895346092	227
STK25	3.26663238824503	2.09309781372565	228
ARPC2	3.25768385273409	2.09006882883532	229
KIAA2013	3.24666814694917	2.08633137464798	230
HNRNPLL	3.22370798449898	2.07851009419489	231
COA5	3.21221234892443	2.07457816832422	232
ACTR2	3.20078330009584	2.07065836546247	233
G3BP2	3.18142033168627	2.06399307566117	234
HMGB2	3.12252206797519	2.04352721647006	235
SNORA6	3.11930341799447	2.04240039557109	236
IQGAP2	3.11362760584553	2.04041119699434	237
AC112491.1	3.1106787132832	2.0393766166436	238
AC134772.1	3.09571182789748	2.03411421165416	239
PCGF3	3.02270293993495	2.00816520480265	240
ARPC4-TTLL3	3.01177560080578	2.00424091087065	241
MAP4	3.01052057725916	2.00378951485597	242
PPP3CA	3.0021903338746	2.00078977973926	243
HDGF	3.00014823207393	2.00005346242889	244
FDPS	2.99771187481151	1.99917449715516	245
SRGAP2	2.96855095732651	1.98861233021681	246
GPR35	2.95621906569727	1.98412231392433	247
USO1	2.9286227022307	1.97402362064519	248
TMEM165	2.90017357315717	1.96353833104176	249
AC104066.5	2.87732537171058	1.95506180613811	250
CCDC93	2.85685071779257	1.94742330648824	251
SPATS2L	2.84556246966828	1.94319462883817	252
RPS3A	2.76785998761727	1.91374535589464	253
TKT	2.76772699764909	1.91369443379183	254
GNB1	2.70354567776639	1.88890713082428	255
RPS27A	2.67290103418466	1.87692002337299	256
DYNC1I2	2.64255489144323	1.86495071313159	257
EPB41L5	2.62652504833257	1.85858781360625	258
PPP1R21	2.61644426643693	1.85457191824403	259
F5	2.60979263263972	1.85191596274815	260
RTKN	2.58548004145239	1.84216628686568	261
ARID1A	2.57582456712227	1.83827595845882	262
IL17RB	2.540201182197	1.82383134796668	263
GFPT1	2.53964809817565	1.82360593876804	264
CDCA7	2.53165794117932	1.82034561748755	265
TMED7-TICAM2	2.50874869528135	1.81095662227568	266
RBBP4	2.49760760049389	1.80636844118162	267
GTF2H2C	2.48192542754218	1.79988530509494	268
FLNB	2.46926160600838	1.79462863378101	269
EML4	2.46818692316784	1.79418165688152	270
NBPF10	2.44611434683188	1.78497057297039	271
MTTP	2.43692029149042	1.78111639334391	272
DVL1	2.43339646716346	1.7796364603202	273
NBPF14	2.40342198099484	1.76698603821034	274
H1-10	2.40073942851146	1.7658484680875	275
PPM1G	2.39960112288704	1.76536548407154	276
HSD17B4	2.39855976683032	1.76492349417017	277
SERBP1	2.35299568442903	1.74545062627013	278
ATL2	2.3406849278621	1.74014392327585	279
RNU6-37P	2.32697507579382	1.7342110582366	280
TTC21B	2.30666429867265	1.72537658673743	281
